"","Trained_mean","xBaseline_mean","theta","prob","log2FC","threshold"
"102465432",135630.545,91176.48,1.72201006618016,0.805653086828904,0.572948502579052,"TRUE"
"58",35640.2983333333,36339.1283333333,-0.175735173002975,0.0409660634018686,-0.0280144008204644,"FALSE"
"4550",31803.1783333333,25681.4016666667,1.19027267873174,0.673851113528648,0.308447006652421,"FALSE"
"1158",22852.775,19628.76,1.02726025599712,0.619819048054451,0.219400324720698,"FALSE"
"2597",12424.4766666667,11665.1716666667,0.633119301327835,0.458781141641513,0.0909775466569386,"FALSE"
"7169",12092.255,13436.0916666667,-0.958053520750206,0.370512855101875,-0.152030235614512,"FALSE"
"4632",13601.0516666667,12697.4666666667,0.529470395047714,0.383664507785826,0.0991775219038243,"FALSE"
"100616209",14037.4383333333,10762.7516666667,1.06209282392913,0.626196666492024,0.383232712138431,"FALSE"
"7125",7219.41333333333,8560.96,-1.95156553921444,0.709106616453091,-0.245890980077402,"FALSE"
"4151",10328.4083333333,9133.66333333333,1.22257819569839,0.655176591318528,0.177352425697552,"FALSE"
"7140",8189.39666666667,8819.45833333333,-0.744856881325318,0.348749591736187,-0.106932883346522,"FALSE"
"7136",7279.46833333333,7993.7,-0.861565586417843,0.363916718938832,-0.135030345152748,"FALSE"
"226",6051.85333333333,5795.58,0.279636315808364,0.219416905521815,0.0624239762757698,"FALSE"
"29895",6149.53,6059.17166666667,0.159085572453625,0.100800889062595,0.0213555713409439,"FALSE"
"7168",5028.52666666667,5218.14666666667,-0.296289527029803,0.118466948648236,-0.0534017351517077,"FALSE"
"1674",5098.39,5537.01333333333,-0.622906097091514,0.301056777335923,-0.119066259777259,"FALSE"
"4633",6178.21166666667,6547.15,-0.333427728226318,0.130208274336603,-0.0836777336953409,"FALSE"
"4620",4732.99666666667,5166.69333333333,-0.4908405644422,0.268370867615434,-0.126487349792514,"FALSE"
"2027",3927.4,3682.355,0.476343014866834,0.349010160736454,0.0929458244738679,"FALSE"
"4619",1733.36166666667,2825.37833333333,-1.39435929047426,0.499463843765207,-0.704871360222663,"FALSE"
"7134",4739.015,5159.28833333333,-0.48715354712485,0.267112328266465,-0.122584848157636,"FALSE"
"4549",5662.92833333333,4092.02833333333,1.72329481957013,0.805770237742234,0.468732137663315,"TRUE"
"5837",2489.41666666667,2769.14,-0.742781530521479,0.348888153359035,-0.153630272256961,"FALSE"
"487",1787.695,2233.88333333333,-1.30385638165959,0.590776301211928,-0.321453223457169,"FALSE"
"4604",2613.62333333333,3065.37666666667,-1.05049871468843,0.436884039307975,-0.230013120243694,"FALSE"
"7138",3671.245,4012.00333333333,-0.457685554586261,0.237404711288551,-0.128053408906075,"FALSE"
"8557",3268.195,3227.29833333333,0.0921555810062954,0.05784407018226,0.0181671182825107,"FALSE"
"2273",3266.46666666667,3492.065,-0.260550778666114,0.101394525802892,-0.0963494954717149,"FALSE"
"58529",1785.035,1924.83,-0.846696670243401,0.369322357283698,-0.108778671231571,"FALSE"
"5224",1749.46,1767.02166666667,-0.0606292856217247,0.000607771438714377,-0.0144100509834174,"FALSE"
"4625",2476.15666666667,2740.245,-0.548110071592304,0.254024916146435,-0.14620229063111,"FALSE"
"7178",1717.10833333333,1719.58666666667,-0.0136216461981704,0.00121856028756251,-0.00208076645117962,"FALSE"
"8531",2191.57333333333,2139.02666666667,0.179615824010454,0.120397935143985,0.0350124861080696,"FALSE"
"1339",1911.515,1724.99666666667,0.758845322339938,0.486760285388001,0.148122947231324,"FALSE"
"10324",1689.365,1786.63166666667,-0.357655382044065,0.141206949224378,-0.0807611710157697,"FALSE"
"6588",2877.52833333333,3089.26833333333,-0.309137316357318,0.12278947449506,-0.102435054860211,"FALSE"
"4606",1158.51833333333,1395.505,-1.17929475481368,0.559312798613556,-0.268506418732645,"FALSE"
"6171",1449.66333333333,1530.21666666667,-0.396876092145914,0.171285353411437,-0.0780180508985874,"FALSE"
"1410",2600.385,1943.36833333333,0.865367749714498,0.54989567696054,0.420165871452055,"FALSE"
"1937",1290.53833333333,1346.92666666667,-0.431472295988095,0.202681013478371,-0.0616983105341116,"FALSE"
"5315",955.85,920.275,0.202904104947751,0.148846051689911,0.0547191990645142,"FALSE"
"844",1050.99833333333,1197.83,-0.981539738330268,0.376856916587979,-0.18866278911242,"FALSE"
"2495",1528.20166666667,1287.72666666667,1.3570810367591,0.761654242376536,0.247008539888623,"FALSE"
"761",1485.325,1596.49166666667,-0.256117235567858,0.0987908849116566,-0.104126384559515,"FALSE"
"1917",1068.30166666667,1054.63833333333,0.147336177442937,0.0917497298760461,0.018570751338737,"FALSE"
"6230",1118.94166666667,1106.29166666667,0.0934981092765459,0.0585183703267308,0.01640303386908,"FALSE"
"6271",1305.79833333333,1167.935,0.462765648029912,0.337365984397933,0.160972120163761,"FALSE"
"6144",844.975,919.46,-0.821220001962282,0.348855285262384,-0.12187815581389,"FALSE"
"7316",722.788333333333,822.313333333333,-0.502813765660869,0.268282769252741,-0.186115001967077,"FALSE"
"11155",1183.43333333333,1229.45833333333,-0.25229920539408,0.0964620632522949,-0.0550444058118703,"FALSE"
"6168",975.431666666667,997.008333333333,-0.133534503552529,0.0177524131536483,-0.0315647540475465,"FALSE"
"7167",837.541666666667,794.955,0.504105979459982,0.370961325161367,0.0752877684427724,"FALSE"
"6124",818.04,834.898333333333,-0.199948705054371,0.0574094256460042,-0.0294291405351081,"FALSE"
"6194",974.525,942.781666666667,0.301259741016253,0.234797935717287,0.0477754919575552,"FALSE"
"6159",936.355,962.725,-0.257630823754307,0.0996952188090793,-0.0400681525940135,"FALSE"
"274",818.585,846.753333333333,-0.30834823817,0.122544714872289,-0.0488095304096115,"FALSE"
"104564225",1612.09333333333,1539.995,0.156147681321793,0.0984388047573582,0.0660096053402742,"FALSE"
"6210",756.446666666667,758.63,-0.021905222652802,0.000405607759207949,-0.00415805539396321,"FALSE"
"6154",983.721666666667,964.156666666667,0.201311513258285,0.146813471464388,0.0289825881570267,"FALSE"
"9499",951.903333333333,910.135,0.412485006027378,0.303864638038459,0.0647345183270368,"FALSE"
"6176",961.585,958.681666666667,0.0195286207959738,0.0116260923029269,0.00436254804236585,"FALSE"
"6229",903.161666666667,904.805,-0.018269018138289,0.000691083695672279,-0.00262264736086447,"FALSE"
"6208",753.561666666667,789.225,-0.509212515808717,0.26616080219166,-0.0667110789356415,"FALSE"
"6232",772.336666666667,776.71,-0.038473984349308,7.23888966647213e-06,-0.00814617559483645,"FALSE"
"88",853.056666666667,941.536666666667,-0.479210460384494,0.26227401603,-0.142375699660094,"FALSE"
"6205",775.92,796.411666666667,-0.332085824847481,0.129755025897257,-0.0376064420133365,"FALSE"
"1346",859.021666666667,791.408333333333,0.682681353979395,0.482315864866714,0.118272263574705,"FALSE"
"11224",840.608333333333,838.795,0.0214929058611387,0.0126454312381761,0.00311549700088785,"FALSE"
"9659",720.72,720.793333333333,-0.000525734330979928,0.00381887202889797,-0.000146786899540398,"FALSE"
"6155",729.536666666667,731.535,-0.0183785062790394,0.000680868468029172,-0.0039464010609546,"FALSE"
"2778",862.161666666667,859.508333333333,0.0421747092846384,0.0256946230870931,0.00444679162955937,"FALSE"
"4892",669.008333333333,873.11,-1.15814857370229,0.526081031789523,-0.384139243738386,"FALSE"
"9349",757.275,775.535,-0.212068252555932,0.066866809010332,-0.0343745901025194,"FALSE"
"6187",792.691666666667,702.1,0.844147765825925,0.544122234879423,0.175083281839976,"FALSE"
"246329",621.38,740.825,-2.08616437088984,0.827344896986777,-0.253656977826227,"TRUE"
"9045",649.815,651.323333333333,-0.0195600083276766,0.000581814579878381,-0.00334486493714274,"FALSE"
"1349",970.105,805.693333333333,1.57014420217759,0.793726676767087,0.267910088794178,"FALSE"
